name,time_ms_per_rank_range,total_time_ms_all_ranges,calls
ncclDevKernel_SendRecv,25.480828625,203.846629,1032
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,15.27817275,122.225382,344
dsv4_fp8_gemv_batch_kernel,11.479105375,91.832843,2920
dsv4_fp4_gemv_batch_tiled_kernel,10.850159125,86.801273,774
dsv4_hybrid_attention_kernel,6.9536145,55.628916,328
dsv4_route_kernel,5.659731625,45.277853,344
dsv4_mhc_params_kernel,5.501333125,44.010665,688
dsv4_csa_select_kernel,3.961915,31.69532,168
kernel,1.07827675,8.626214,1504
dsv4_compressor_update_kernel,0.584921,4.679368,496
rms_norm_batched_kernel,0.434527625,3.476221,1376
gemv_handwritten_kernel,0.40947625,3.27581,8
dot_kernel,0.27306125,2.18449,696
dsv4_pack_expert_ranks_kernel,0.199100625,1.592805,344
dsv4_swa_attention_kernel,0.19774,1.58192,16
dsv4_mhc_post_kernel,0.176440625,1.411525,688
dsv4_pack_received_experts_kernel,0.15274025,1.221922,344
reduce_1Block_kernel,0.14439475,1.155158,696
dsv4_prepare_q_kernel,0.1379595,1.103676,344
dsv4_mhc_pre_kernel,0.130165875,1.041327,688
dsv4_prepare_k_kernel,0.1123885,0.899108,344
dsv4_swiglu_clamped_kernel,0.108201125,0.865609,602
dsv4_sum_padded_route_outputs_by_peer_kernel,0.09530325,0.762426,344
dsv4_sum_bf16_rows_kernel,0.06083575,0.486686,344
dsv4_count_packed_local_experts_kernel,0.05901975,0.472158,344
add_assign_bf16_kernel,0.057404625,0.459237,344
dsv4_scatter_packed_route_slot_kernel,0.051969625,0.415757,258
dsv4_init_padded_route_slots_kernel,0.0504635,0.403708,344
dsv4_update_window_cache_kernel,0.04979925,0.398394,344
dsv4_mhc_head_pre_kernel,0.01535625,0.12285,8
