name,per_decode_range_ms,total_ms,count,avg_us,min_us,max_us
cudaLaunchKernel_v7000,20.913065,167.304518,15088,11.088582,2.885,152.647
cuMemAllocAsync,20.122865,160.982917,7760,20.745221,0.647,378.365
cuMemcpyDtoHAsync_v2,18.105969,144.847752,543,266.754608,12.379,1414.261
cuMemFreeAsync,15.645392,125.163134,6048,20.694963,0.5,481.352
cuMemsetD8Async,11.759143,94.073143,8838,10.644166,1.557,657.251
cudaEventRecord_v3020,3.927053,31.416427,4136,7.595848,0.487,103.542
cudaStreamWaitEvent_v3020,3.415296,27.322371,3440,7.94255,0.58,67.51
cuLaunchKernelEx,2.628545,21.028359,1720,12.22579,2.994,57.001
cudaStreamGetCaptureInfo_v2_v11030,2.263099,18.104791,5200,3.481691,0.246,73.383
cuMemcpyHtoDAsync_v2,1.476573,11.812586,895,13.19842,2.927,65.755
cuMemcpyDtoDAsync_v2,1.260814,10.086514,613,16.454346,5.219,75.403
cudaGetFuncBySymbol_v11000,0.762402,6.099213,1720,3.546054,0.148,39.003
